Module                  Size  Used by
snd_seq_midi_event     16384  1 snd_seq_midi
videobuf2_v4l2         36864  1 uvcvideo
kvm_amd               241664  0
btbcm                  24576  1 btusb
drm_exec               12288  1 amdgpu
snd_pci_acp6x          16384  0
snd_rawmidi            57344  1 snd_seq_midi
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
btmtk                  36864  1 btusb
cdc_ether              24576  0
drm_suballoc_helper    24576  1 amdgpu
bluetooth            1032192  42 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
drm_display_helper    290816  1 amdgpu
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
snd_pcm               200704  16 snd_sof_amd_acp,snd_hda_codec_hdmi,snd_pci_acp6x,snd_acp_legacy_common,snd_hda_intel,snd_hda_codec,snd_sof,snd_soc_sdca,snd_compress,snd_soc_core,snd_acp_pcm,snd_sof_utils,soundwire_amd,snd_hda_core,snd_pci_ps,snd_pcm_dmaengine
videodev              364544  2 videobuf2_v4l2,uvcvideo
uas                    32768  0
usbnet                 61440  1 cdc_ether
kvm                  1445888  1 kvm_amd
cfg80211             1462272  3 rtw89_core,mac80211,rtw89_8852b_common
cec                    98304  2 drm_display_helper,amdgpu
snd_pci_acp5x          16384  0
usb_storage            86016  1 uas
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
mii                    20480  1 usbnet
rc_core                73728  1 cec
snd_rn_pci_acp3x       16384  0
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
usbhid                 77824  0
snd                   143360  22 snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_sof,snd_soc_sdca,snd_timer,snd_hda_codec_realtek_lib,snd_compress,snd_hda_codec_alc269,snd_soc_core,snd_pcm,snd_rawmidi
i2c_algo_bit           16384  1 amdgpu
snd_acp_config         20480  10 snd_rn_pci_acp3x,snd_sof_amd_acp70,snd_pci_acp6x,snd_pci_acp5x,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_acp_pci,snd_pci_ps,snd_sof_amd_renoir
irqbypass              16384  1 kvm
amd_pmf               114688  0
snd_soc_acpi           16384  5 snd_sof_amd_acp,snd_acp_legacy_common,snd_acp_config,snd_amd_acpi_mach,snd_pci_ps
amdxdna               147456  0
soundcore              16384  1 snd
libarc4                12288  1 mac80211
snd_pci_acp3x          16384  0
amdtee                 32768  0
polyval_clmulni        12288  0
i2c_piix4              32768  0
ghash_clmulni_intel    12288  0
gpu_sched              65536  2 amdxdna,amdgpu
mfd_aaeon              12288  0
ccp                   159744  2 kvm_amd,amdtee
aesni_intel            98304  7
amd_sfh                69632  1 amd_pmf
k10temp                16384  0
i2c_smbus              20480  1 i2c_piix4
asus_nb_wmi            32768  0
rapl                   20480  0
asus_wmi              102400  2 asus_nb_wmi,mfd_aaeon
tee                    45056  2 amd_pmf,amdtee
sparse_keymap          12288  1 asus_wmi
input_leds             12288  0
amd_pmc                53248  0
joydev                 32768  0
platform_profile       20480  2 amd_pmf,asus_wmi
mac_hid                12288  0
serio_raw              20480  0
wmi_bmof               12288  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     32768  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  5 nft_compat,nf_tables,ip_set
dmi_sysfs              20480  0
ip_tables              32768  0
x_tables               65536  6 xt_conntrack,nft_compat,xt_addrtype,xt_set,ip_tables,xt_MASQUERADE
autofs4                57344  2
nvme                   61440  2
ucsi_acpi              12288  0
typec_ucsi             69632  1 ucsi_acpi
nvme_core             233472  3 nvme
hid_multitouch         36864  0
typec                 118784  1 typec_ucsi
hid_generic            12288  0
nvme_keyring           20480  1 nvme_core
thunderbolt           540672  1 typec
video                  77824  3 asus_wmi,amdgpu,asus_nb_wmi
nvme_auth              28672  1 nvme_core
i2c_hid_acpi           12288  0
wmi                    28672  4 video,asus_wmi,wmi_bmof,mfd_aaeon
i2c_hid                40960  1 i2c_hid_acpi
hid                   262144  7 i2c_hid,usbhid,hid_multitouch,snd_soc_sdca,hid_generic,amd_sfh,uhid
